super_opeid,female,par_mean,k_mean,name,region,state,zip,tier,tier_name,type,iclevel,public,barrons,exp_instr_pc_2000,exp_instr_pc_2013,hbcu,flagship,ipeds_enrollment_2013,ipeds_enrollment_2000,sticker_price_2013,sticker_price_2000,grad_rate_150_p_2013,grad_rate_150_p_2002,sat_avg_2013,sat_avg_2001,scorecard_netprice_2013,scorecard_rej_rate_2013,scorecard_median_earnings_2011,endowment_pc_2000,exp_instr_2012,exp_instr_2000,asian_or_pacific_share_fall_2000,black_share_fall_2000,hisp_share_fall_2000,alien_share_fall_2000,pct_arthuman_2000,pct_business_2000,pct_health_2000,pct_multidisci_2000,pct_publicsocial_2000,pct_stem_2000,pct_socialscience_2000,pct_tradepersonal_2000,enrollment_norm,price_norm,grad_norm,sat_norm,female_norm,netprice_norm
30955,0.79878789,35390.3968,24916.149,ASA Institute Of Business & Computer Technology,1,NY,11201,11,Two-year for-profit,3,2,0,999,1961.1664,3643.3179,0,0,4711,1432,12298,,0.316260567,0.592128801,,,22011,,26400,,12291059,1417345,0.11801676,0.081703909,0.073324025,0.071229048,0,6.6037736,11.425576,0,0,81.97065,0,0,0.020118706,0.224310676,0.302162847,,0.79812052,0.542901496
3537,0.55961841,138760.9698,50874.14613,Abilene Christian University,3,TX,79699,6,Selective private,2,1,0,3,4572.1567,7046.2036,0,0,3727,4739,29450,10910,0.56561086,0.54454343,1075,1100,20836,0.51059997,40200,,30223039,20684050,0.007326873,0.05766958,0.05672418,0.039943274,10.785619,22.50333,5.0599203,9.7203732,8.7882824,11.318242,31.691078,0.13315579,0.015864988,0.56801058,0.556654383,0.422492401,0.558157775,0.515264841
1541,0.44160941,80366.66127,35346.92997,Abraham Baldwin Agricultural College,3,GA,31793,7,Nonselective four-year public,1,1,1,999,3533.4463,3301.0461,0,0,3394,2630,3394,1664,,0.227142857,925,,7887,0.29100001,31900,1594.2852,9604920,9627084,0.004942966,0.15703422,0.016730038,0.013688213,0,4.1002278,12.072893,47.152618,6.3781323,29.612757,0,0.68337131,0.014425467,0.045888105,,0.240121581,0.439757368,0.210697149
7531,0.4142569,166594.9696,39988.01721,Academy Of Art University,4,CA,94105,10,Four-year for-profit,3,1,0,999,2569.2778,5039.5825,0,0,10508,5995,19740,15090,0.33,0.322429907,,,28224,,36100,,87856929,17809356,0.15640348,0.023989422,0.20589346,0.27181715,96.091957,0,0,0,0,0,3.908046,0,0.04517847,0.373436999,0.316185567,,0.412314137,0.689034716
1345,0.50084746,76121.81634,38010.81341,Adams State University,4,CO,81101,5,Selective public,1,1,1,4,1036.9449,5938.9795,0,0,2284,8188,8014,2186,0.261176471,0.323325635,984,,14705,0.47400001,33200,1026.6212,18314567,8925393,0.0125,0.035096154,0.27548078,0.002403846,10.85044,24.046921,0,33.431084,0,13.489737,18.181818,0,0.009627065,0.138465854,0.245942996,0.311854103,0.499191896,0.371060307
2666,0.71840209,130723.7409,54029.66686,Adelphi University,1,NY,11530,6,Selective private,2,1,0,4,6283.9482,10505.104,0,0,5040,5908,32340,15690,0.625141563,0.487341772,1115,1065,20512,0.3186,50600,,78979322,30597666,0.029686997,0.1226202,0.067118429,0.040980961,9.0090094,28.078077,13.963964,3.6036036,8.5585585,6.0060062,30.780781,0,0.021540936,0.62592177,0.617412523,0.47112462,0.7174681,0.507644181
2860,0.5263952,75699.25196,33735.5687,Adirondack Community College - SUNY Office Of Community Colleges,1,NY,12804,9,Two-year (public and private not-for-profit),1,2,1,999,2475.7666,3460.824,0,0,4230,3151,4302,2503,0.192740926,0.331641286,,,2810,,32300,,13593025,8229181,0.006664551,0.008251349,0.009203428,0.002856236,0,19.017094,12.606837,50,7.4786325,8.5470085,2.1367521,0.21367522,0.018039399,0.064083039,0.176096409,,0.524824372,0.091283282
2234,0.55478501,113708.1117,43944.55249,Adrian College,2,MI,49221,6,Selective private,2,1,0,4,5017.7095,6377.8945,0,0,1646,1081,32660,14250,0.544513458,0.456375839,990,,15774,0.43720001,36500,,10441712,4995231,0.003700278,0.067530066,0.017576318,0.019426458,19.631903,28.834356,0.61349696,12.269938,5.5214725,16.564417,16.564417,0,0.006869064,0.632334081,0.535121983,0.319148936,0.553308343,0.396203782
11484,0.99137932,90962.75,27012.46615,Advanced Institute Of Hair Design,2,WI,53228,11,Two-year for-profit,3,2,0,999,1695.1045,2502.1504,0,0,355,111,,,0.750412063,0.821475626,,,10707.964,,22000,,307487.0225,112103.5,0.009090909,0.071753249,0.036201298,0,0,0,0,0,0,0,0,100,0.00128822,,0.74526592,,0.991350727,0.277047794
31275,0.039164491,69400.14868,33265.16236,Advanced Technology Institute,3,VA,23462,11,Two-year for-profit,3,2,0,999,3841.7444,8173.1704,0,0,824,273,13255,6942,0.681415929,,,,18350,0.096600004,35300,,6635811,1168395,0.043956045,0.26373628,0.021978023,0,0,0,0,0,0,15.163935,0,84.836067,0.003315653,0.243487496,0.674847185,,0.03597764,0.456792737
