super_opeid,female,par_mean,k_mean,Web,name,region,state,zip,tier,tier_name,type,iclevel,public,hbcu,flagship,ipeds_enrollment_2013,sticker_price_2013,grad_rate_150_p_2013,sat_avg_2013,scorecard_netprice_2013,scorecard_rej_rate_2013,scorecard_median_earnings_2011,asian_or_pacific_share_fall_2000,black_share_fall_2000,hisp_share_fall_2000,alien_share_fall_2000,pct_arthuman_2000,pct_business_2000,pct_health_2000,pct_multidisci_2000,pct_publicsocial_2000,pct_stem_2000,pct_socialscience_2000,pct_tradepersonal_2000,acc_rate_2013,female_norm,enrollment_norm,price_norm,grad_norm,sat_norm,netprice_norm,acceptance_norm,mr_q1,mr_q2,mr_q3,mr_q4,mr_q5,mr_q0
30955,0.79878789,35390.3968,24916.149,www.asa.edu,ASA Institute Of Business & Computer Technology,1,NY,11201,11,Two-year for-profit,3,2,0,0,0,4711,12298,0.316260567,,22011,,26400,0.11801676,0.081703909,0.073324025,0.071229048,0,6.6037736,11.425576,0,0,81.97065,0,0,,0.79812052,0.020118706,0.224310676,0.302162847,,0.542901496,,3.415227072,3.226223666,3.227638791,3.03435998,2.892336795,3.290055302
3537,0.55961841,138760.9698,50874.14613,www.acu.edu,Abilene Christian University,3,TX,79699,6,Selective private,2,1,0,0,0,3727,29450,0.56561086,1075,20836,0.51059997,40200,0.007326873,0.05766958,0.05672418,0.039943274,10.785619,22.50333,5.0599203,9.7203732,8.7882824,11.318242,31.691078,0.13315579,0.48940003,0.558157775,0.015864988,0.56801058,0.556654383,0.422492401,0.515264841,0.458594019,2.481784155,2.77362053,2.75533641,2.55318521,2.42888031,2.55210283
1541,0.44160941,80366.66127,35346.92997,www.abac.edu,Abraham Baldwin Agricultural College,3,GA,31793,7,Nonselective four-year public,1,1,1,0,0,3394,3394,,925,7887,0.29100001,31900,0.004942966,0.15703422,0.016730038,0.013688213,0,4.1002278,12.072893,47.152618,6.3781323,29.612757,0,0.68337131,0.70899999,0.439757368,0.014425467,0.045888105,,0.240121581,0.210697149,0.691443096,3.213949913,2.94356756,2.73966043,2.64410691,2.64268904,2.8094944
7531,0.4142569,166594.9696,39988.01721,www.academyart.edu,Academy Of Art University,4,CA,94105,10,Four-year for-profit,3,1,0,0,0,10508,19740,0.33,,28224,,36100,0.15640348,0.023989422,0.20589346,0.27181715,96.091957,0,0,0,0,0,3.908046,0,,0.412314137,0.04517847,0.373436999,0.316185567,,0.689034716,,3.20333541,2.98518375,2.97114972,2.89862567,2.83361995,2.92469344
1345,0.50084746,76121.81634,38010.81341,www.adams.edu,Adams State University,4,CO,81101,5,Selective public,1,1,1,0,0,2284,8014,0.261176471,984,14705,0.47400001,33200,0.0125,0.035096154,0.27548078,0.002403846,10.85044,24.046921,0,33.431084,0,13.489737,18.181818,0,0.52599999,0.499191896,0.009627065,0.138465854,0.245942996,0.311854103,0.371060307,0.497402163,2.98630165,2.82734873,2.67350911,2.69553134,2.52575612,2.72221291
2666,0.71840209,130723.7409,54029.66686,WWW.ADELPHI.EDU,Adelphi University,1,NY,11530,6,Selective private,2,1,0,0,0,5040,32340,0.625141563,1115,20512,0.3186,50600,0.029686997,0.1226202,0.067118429,0.040980961,9.0090094,28.078077,13.963964,3.6036036,8.5585585,6.0060062,30.780781,0,0.6814,0.7174681,0.021540936,0.62592177,0.617412523,0.47112462,0.507644181,0.662177917,2.365267855,2.35095126,2.22099704,2.260972975,2.14584096,2.22952808
2860,0.5263952,75699.25196,33735.5687,WWW.SUNYACC.EDU,Adirondack Community College - SUNY Office Of Community Colleges,1,NY,12804,9,Two-year (public and private not-for-profit),1,2,1,0,0,4230,4302,0.192740926,,2810,,32300,0.006664551,0.008251349,0.009203428,0.002856236,0,19.017094,12.606837,50,7.4786325,8.5470085,2.1367521,0.21367522,,0.524824371,0.018039399,0.064083039,0.176096409,,0.091283282,,3.117988319,2.91822387,2.93739091,2.71100121,2.67362265,2.84617615
2234,0.55478501,113708.1117,43944.55249,www.adrian.edu,Adrian College,2,MI,49221,6,Selective private,2,1,0,0,0,1646,32660,0.544513458,990,15774,0.43720001,36500,0.003700278,0.067530066,0.017576318,0.019426458,19.631903,28.834356,0.61349696,12.269938,5.5214725,16.564417,16.564417,0,0.56279999,0.553308343,0.006869064,0.632334081,0.535121982,0.319148936,0.396203782,0.536422416,2.8366868,2.527528305,2.486299775,2.50435079,2.295079295,2.452074965
11484,0.99137932,90962.75,27012.46615,,Advanced Institute Of Hair Design,2,WI,53228,11,Two-year for-profit,3,2,0,0,0,355,,0.750412063,,10707.964,,22000,0.009090909,0.071753249,0.036201298,0,0,0,0,0,0,0,0,100,,0.991350727,0.00128822,,0.74526592,,0.277047794,,1.488777925,3.39717106,3.296495368,3.124862961,3.364243095,3.204416059
31275,0.039164491,69400.14868,33265.16236,www.auto.edu,Advanced Technology Institute,3,VA,23462,11,Two-year for-profit,3,2,0,0,0,824,13255,0.681415929,,18350,0.096600004,35300,0.043956045,0.26373628,0.021978023,0,0,0,0,0,0,15.163935,0,84.836067,0.903399996,0.03597764,0.003315653,0.243487496,0.674847185,,0.456792737,0.897571831,2.75919077,2.90660481,2.71847847,2.544824634,2.67531859,2.72150259
31155,0.76348549,73132.16146,45837.11328,www.fhchs.edu,Adventist University Of Health Sciences,3,FL,32803,8,Nonselective four-year private not-for-profit,2,1,0,0,0,2160,12430,0.333333333,925,18425,0.8664,51100,0.084337346,0.13769363,0.17728055,0,0,0,100,0,0,0,0,0,0.1336,0.762701031,0.009091027,0.226955755,0.319587629,0.240121581,0.458556779,0.081327517,2.681349762,2.334648945,2.506034535,2.25557176,2.241963776,2.38129385
1542,0.99695122,148536.1146,45756.53516,www.agnesscott.edu,Agnes Scott College,3,GA,30030,4,Highly selective private,2,1,0,0,0,915,35982,0.720183486,,16756,0.33129999,39400,0.049327355,0.19282511,0.036995515,0.053811658,31.884058,0,0,10.144928,0,15.94203,42.028984,0,0.66870001,0.996941108,0.003709035,0.698901892,0.714414074,,0.419300969,0.648711699,3.05558769,2.62154004,2.93192847,2.57774335,2.445224365,2.61761881
10056,0.53883201,67392.41217,27452.43907,www.atc.edu,Aiken Technical College,3,SC,29829,9,Two-year (public and private not-for-profit),1,2,1,0,0,2583,4132,0.093686354,,5315,,25300,0.008818342,0.35493827,0.009700176,0,0,36.25304,8.5158148,9.7323599,11.922141,24.3309,0,9.2457418,,0.537302431,0.010919607,0.060676499,0.074999475,,0.150202277,,3.28732297,3.12087808,3.06817084,3.09679686,2.90956989,3.10417175
1002,0.51395267,57659.15269,37065.25163,www.aamu.edu/,Alabama Agricultural & Mechanical University,3,AL,35762,5,Selective public,1,1,1,1,0,4051,9096,0.29138322,843.5,12683,0.1011,31400,0.002968037,0.90547943,0.002739726,0.038812786,1.2844037,20.917431,0,0,4.4036698,38.165138,35.229359,0,0.8989,0.512340573,0.017265602,0.160147483,0.276772565,0.141033435,0.323501741,0.892800337,2.87822343,2.79903161,2.661716555,2.67133541,2.51159949,2.73446602
1034,0.59677422,61075.67018,28755.53984,www.ascc.edu,Alabama Southern Community College,3,AL,36460,9,Two-year (public and private not-for-profit),1,2,1,0,0,1349,4260,0.233796296,,4737,,23200,0.003965107,0.36399683,0.002379064,0,0,24.723248,26.937269,19.926199,0,12.546125,0,15.867159,,0.595436821,0.005585167,0.063241424,0.217998282,,0.136607395,,3.27134154,3.139095007,3.1282142,2.98197199,2.86376125,3.11501204
5463,0.59614146,72254.9352,27239.25566,www.alamancecc.edu,Alamance Community College,3,NC,27253,9,Two-year (public and private not-for-profit),1,2,1,0,0,4161,2175,0.106779661,,10155,,26500,0.011130638,0.19390744,0.016110135,0.005565319,2.4479804,31.578947,14.565483,17.62546,1.4687883,23.745409,0,8.5679312,,0.594801962,0.01774112,0.021461206,0.088362747,,0.264041773,,3.422098881,3.213255354,3.125657463,3.08582176,2.9269323,3.144077515
37,0.54037869,65078.97563,32800.56627,,Alamo Community College District,3,TX,78212,9,Two-year (public and private not-for-profit),1,2,1,0,0,57634,5550,0.081574093,,3724.7588,,30986.586,0.024150413,0.07239721,0.51685667,0.006456318,2.1306818,13.778409,28.030304,20.454546,4.971591,15.056818,3.5511363,12.026515,,0.538854241,0.248898745,0.089091055,0.062637476,,0.112798918,,3.06708223,2.98366255,2.87833675,2.73640666,2.75652104,2.90168213
2885,0.59689921,90997.46875,115474.4401,www.acphs.edu/,Albany College Of Pharmacy And Health Sciences,1,NY,12208,8,Nonselective four-year private not-for-profit,2,1,0,0,0,1078,30131,0.723484848,1165,25442,0.366,110600,0.092943199,0.029259896,0.018932875,0.020654045,0,0,100,0,0,0,0,0,0.634,0.595562226,0.004413666,0.581656781,0.717783505,0.531914894,0.623600527,0.611918134,1.348013128,1.613360733,1.628965156,1.50639099,1.431838923,1.504417828
