,super_opeid,female,par_mean,k_mean,mr_kq5_pq1,Web,name,region,state,zip,tier,tier_name,type,iclevel,public,hbcu,flagship,ipeds_enrollment_2013,sticker_price_2013,grad_rate_150_p_2013,sat_avg_2013,scorecard_netprice_2013,scorecard_rej_rate_2013,scorecard_median_earnings_2011,asian_or_pacific_share_fall_2000,black_share_fall_2000,hisp_share_fall_2000,alien_share_fall_2000,pct_arthuman_2000,pct_business_2000,pct_health_2000,pct_multidisci_2000,pct_publicsocial_2000,pct_stem_2000,pct_socialscience_2000,pct_tradepersonal_2000,acc_rate_2013,female_norm,enrollment_norm,price_norm,grad_norm,sat_norm,netprice_norm,acceptance_norm,Unnamed: 0,mr_q0,mr_q1,mr_q2,mr_q3,mr_q4,mr_q5
0,30955,0.79878789,35390.3968,24916.148999999998,0.020033943999999998,www.asa.edu,ASA Institute Of Business & Computer Technology,1,NY,11201,11,Two-year for-profit,3,2,0,0,0,4711,12298.0,0.316260567,,22011.0,,26400.0,0.11801676,0.081703909,0.073324025,0.071229048,0.0,6.603773599999999,11.425576,0.0,0.0,81.97065,0.0,0.0,,0.79812052,0.020118706,0.22431067600000001,0.302162847,,0.542901496,,0,21645.2777108,-82710.3609462,-15252.511259,20617.4203974,35463.723689999984,46526.51576780001
1,3537,0.55961841,138760.9698,50874.14613,0.014363836000000001,www.acu.edu,Abilene Christian University,3,TX,79699,6,Selective private,2,1,0,0,0,3727,29450.0,0.56561086,1075.0,20836.0,0.51059997,40200.0,0.007326873,0.05766958,0.05672418,0.039943274,10.785619,22.50333,5.0599203,9.7203732,8.7882824,11.318242,31.691078000000005,0.13315579,0.48940003,0.558157775,0.015864988,0.56801058,0.5566543829999999,0.422492401,0.515264841,0.45859401899999996,1,2816.6087469999998,-110194.47878499998,-24683.712395,7179.3989790000005,24743.048977000002,37572.592988
2,1541,0.44160941,80366.66127000001,35346.92997,0.014857335,www.abac.edu,Abraham Baldwin Agricultural College,3,GA,31793,7,Nonselective four-year public,1,1,1,0,0,3394,3394.0,,925.0,7887.0,0.29100001,31900.0,0.004942966,0.15703422,0.016730038,0.013688213000000001,0.0,4.1002278,12.072892999999999,47.152618,6.3781323,29.612757000000002,0.0,0.68337131,0.70899999,0.439757368,0.014425466999999999,0.045888105,,0.24012158100000003,0.21069714899999997,0.691443096,2,7036.831381000003,-88270.4396178,-24956.216153999998,4752.482616000001,23474.1346354,41079.609155
3,7531,0.41425690000000004,166594.9696,39988.017210000005,0.01635739,www.academyart.edu,Academy Of Art University,4,CA,94105,10,Four-year for-profit,3,1,0,0,0,10508,19740.0,0.33,,28224.0,,36100.0,0.15640348,0.023989422000000003,0.20589346,0.27181715,96.091957,0.0,0.0,0.0,0.0,0.0,3.908046,0.0,,0.412314137,0.04517847,0.373436999,0.316185567,,0.689034716,,3,15706.857736000002,-82908.69886199999,-17799.595909,16620.617433000003,36545.106961000005,50824.76666100001
4,1345,0.50084746,76121.81634,38010.81341,0.018844681000000002,www.adams.edu,Adams State University,4,CO,81101,5,Selective public,1,1,1,0,0,2284,8014.0,0.261176471,984.0,14705.0,0.47400001,33200.0,0.0125,0.035096154,0.27548078,0.002403846,10.850439999999999,24.046920999999998,0.0,33.431084000000006,0.0,13.489737,18.181818,0.0,0.52599999,0.499191896,0.009627065,0.138465854,0.24594299600000002,0.311854103,0.37106030700000003,0.49740216299999995,4,5030.570250999999,-93860.606222,-27012.423973,2796.6280929999994,26110.75403,37298.758747
5,2666,0.71840209,130723.7409,54029.666860000005,0.032585073,WWW.ADELPHI.EDU,Adelphi University,1,NY,11530,6,Selective private,2,1,0,0,0,5040,32340.0,0.625141563,1115.0,20512.0,0.3186,50600.0,0.029686997000000003,0.1226202,0.06711842900000001,0.040980961,9.0090094,28.078077,13.963964,3.6036036,8.5585585,6.006006200000001,30.780781,0.0,0.6814,0.7174680999999999,0.021540936,0.62592177,0.6174125229999999,0.47112462,0.507644181,0.6621779170000001,5,-6187.947788000001,-111630.52558800002,-36844.047162,-7162.605871999996,15715.5264169,29863.62496
6,2860,0.5263952,75699.25196000001,33735.5687,0.009940931,WWW.SUNYACC.EDU,Adirondack Community College - SUNY Office Of Community Colleges,1,NY,12804,9,Two-year (public and private not-for-profit),1,2,1,0,0,4230,4302.0,0.192740926,,2810.0,,32300.0,0.0066645509999999995,0.008251349,0.009203428,0.002856236,0.0,19.017094,12.606836999999999,50.0,7.4786325,8.5470085,2.1367521000000003,0.21367522,,0.524824371,0.018039398999999998,0.06408303900000001,0.17609640899999998,,0.091283282,,6,8051.605128000001,-92543.2932894,-24651.081711000003,11162.195491,25741.499371,40660.377684
7,2234,0.55478501,113708.1117,43944.552489999995,0.009564629,www.adrian.edu,Adrian College,2,MI,49221,6,Selective private,2,1,0,0,0,1646,32660.0,0.544513458,990.0,15774.0,0.43720001,36500.0,0.003700278,0.067530066,0.017576318,0.019426458,19.631903,28.834356,0.61349696,12.269938,5.5214725,16.564417000000002,16.564417000000002,0.0,0.56279999,0.553308343,0.006869064,0.632334081,0.535121982,0.319148936,0.396203782,0.5364224160000001,7,-3140.474934000001,-98777.29140599999,-36598.3436729,-3661.6837080000014,20358.500305,30764.5960464
8,11484,0.99137932,90962.75,27012.46615,0.020172881,,Advanced Institute Of Hair Design,2,WI,53228,11,Two-year for-profit,3,2,0,0,0,355,,0.750412063,,10707.964,,22000.0,0.009090909,0.071753249,0.036201298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,,0.991350727,0.00128822,,0.74526592,,0.27704779399999996,,8,16409.0394246,-130967.465719,-16052.0290546,20819.285036200003,31007.7350635,67007.727403
9,31275,0.039164491,69400.14868,33265.16236,0.031438664,www.auto.edu,Advanced Technology Institute,3,VA,23462,11,Two-year for-profit,3,2,0,0,0,824,13255.0,0.681415929,,18350.0,0.096600004,35300.0,0.043956045,0.26373628,0.021978023,0.0,0.0,0.0,0.0,0.0,0.0,15.163935,0.0,84.836067,0.903399996,0.03597764,0.003315653,0.24348749600000003,0.674847185,,0.456792737,0.8975718309999999,9,4978.225497999999,-101864.582207,-23767.159144999998,2959.9486520000014,23342.6629138,41015.521842
10,31155,0.76348549,73132.16146,45837.11328,0.037858433999999996,www.fhchs.edu,Adventist University Of Health Sciences,3,FL,32803,8,Nonselective four-year private not-for-profit,2,1,0,0,0,2160,12430.0,0.333333333,925.0,18425.0,0.8664,51100.0,0.084337346,0.13769363,0.17728055,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.1336,0.762701031,0.009091027,0.226955755,0.319587629,0.24012158100000003,0.45855677899999997,0.081327517,10,-3398.6828280000013,-99700.2588068,-43055.0815141,-2299.5708819999977,17379.062641999997,31612.411891000003
11,1542,0.99695122,148536.1146,45756.53516,0.014744159,www.agnesscott.edu,Agnes Scott College,3,GA,30030,4,Highly selective private,2,1,0,0,0,915,35982.0,0.7201834859999999,,16756.0,0.33129999,39400.0,0.049327355,0.19282511,0.036995515,0.053811658,31.884058000000003,0.0,0.0,10.144928,0.0,15.942029999999999,42.028984,0.0,0.66870001,0.996941108,0.003709035,0.6989018920000001,0.714414074,,0.41930096899999997,0.648711699,11,3882.778197999996,-86559.34622400001,-32433.937504,12020.651253,26182.852367000003,35640.982882
12,10056,0.53883201,67392.41217000001,27452.43907,0.017105053999999998,www.atc.edu,Aiken Technical College,3,SC,29829,9,Two-year (public and private not-for-profit),1,2,1,0,0,2583,4132.0,0.093686354,,5315.0,,25300.0,0.008818342,0.35493827,0.009700176,0.0,0.0,36.253040000000006,8.5158148,9.7323599,11.922141,24.3309,0.0,9.245741800000001,,0.537302431,0.010919607,0.060676499,0.074999475,,0.150202277,,12,16540.424872,-86044.210852,-18233.325296000006,14173.524706,39700.284546,47909.99632400001
13,1002,0.51395267,57659.152689999995,37065.25163,0.0421931,www.aamu.edu/,Alabama Agricultural & Mechanical University,3,AL,35762,5,Selective public,1,1,1,1,0,4051,9096.0,0.29138322,843.5,12683.0,0.1011,31400.0,0.002968037,0.90547943,0.0027397259999999996,0.038812786,1.2844037,20.917431,0.0,0.0,4.403669799999999,38.165138,35.229359,0.0,0.8989,0.512340573,0.017265601999999998,0.160147483,0.276772565,0.141033435,0.323501741,0.892800337,13,5113.063938999999,-98738.734821,-27905.581767000003,2308.711220000001,24708.789533,38107.089688
14,1034,0.59677422,61075.670179999994,28755.539839999998,0.030778091,www.ascc.edu,Alabama Southern Community College,3,AL,36460,9,Two-year (public and private not-for-profit),1,2,1,0,0,1349,4260.0,0.23379629600000001,,4737.0,,23200.0,0.003965107,0.36399683,0.0023790639999999997,0.0,0.0,24.723248,26.937269,19.926199,0.0,12.546125,0.0,15.867159,,0.5954368210000001,0.005585166999999999,0.063241424,0.217998282,,0.136607395,,14,17656.242897999997,-88052.329796,-17488.7650535,19623.675683,37887.517469,49464.885282999996
15,5463,0.59614146,72254.9352,27239.255660000003,0.004474188,www.alamancecc.edu,Alamance Community College,3,NC,27253,9,Two-year (public and private not-for-profit),1,2,1,0,0,4161,2175.0,0.106779661,,10155.0,,26500.0,0.011130638,0.19390744,0.016110135,0.005565319,2.4479804,31.578946999999996,14.565482999999999,17.62546,1.4687883,23.745409,0.0,8.567931199999999,,0.594801962,0.01774112,0.021461206,0.08836274699999999,,0.26404177300000004,,15,16743.367125,-82854.2041626,-17088.121532999998,16350.4746032,37916.653438,47221.402331
16,37,0.54037869,65078.97562999999,32800.566269999996,0.02440845,,Alamo Community College District,3,TX,78212,9,Two-year (public and private not-for-profit),1,2,1,0,0,57634,5550.0,0.081574093,,3724.7588,,30986.586,0.024150413,0.07239721,0.51685667,0.006456318000000001,2.1306818,13.778409,28.030303999999997,20.454546,4.971591,15.056818,3.5511362999999996,12.026515,,0.538854241,0.248898745,0.089091055,0.062637476,,0.11279891800000001,,16,10401.391266999997,-93227.32732000001,-22778.029775,9984.591072,27617.497066000004,45157.045439999994
17,2885,0.59689921,90997.46875,115474.4401,0.033575334,www.acphs.edu/,Albany College Of Pharmacy And Health Sciences,1,NY,12208,8,Nonselective four-year private not-for-profit,2,1,0,0,0,1078,30131.0,0.723484848,1165.0,25442.0,0.366,110600.0,0.092943199,0.029259896,0.018932875,0.020654045,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.634,0.595562226,0.004413666,0.5816567810000001,0.717783505,0.531914894,0.623600527,0.611918134,17,-23695.5065159,-136023.15652030002,-52634.172397500006,-19586.6669467,-2126.8734484,11094.8003404
18,1544,0.63595647,54718.25916,34497.28754,0.025794942,www.potentialrealized.org/,Albany State University,3,GA,31705,5,Selective public,1,1,1,1,0,3660,5192.0,0.42492012799999995,880.0,12026.0,0.80080003,32700.0,0.000639182,0.9533396999999999,0.0035155,0.0035155,3.3132532,17.168674,22.289156,0.0,16.265060000000002,6.3253012,34.638554,0.0,0.19919997,0.634749029,0.015575354,0.081917281,0.41306281100000003,0.18541033399999998,0.308048735,0.150885328,18,4816.202419000002,-101578.71469,-27511.245977,2089.4010850000004,23671.3813539,42689.774405
19,5601,0.62720001,43728.09115,19887.24089,0.014374671,www.albanytech.edu,Albany Technical College,3,GA,31701,9,Two-year (public and private not-for-profit),1,2,1,0,0,3894,4746.0,0.410488246,,186.0,,22000.0,0.004500818,0.65711945,0.00613748,0.0,0.0,25.094339,17.169811,0.0,0.3773585,1.3207548,0.0,56.037735,,0.625963526,0.016586909,0.07298012200000001,0.39833336399999997,,0.02956534,,19,26429.278606799995,-77951.61968440001,-10150.2694445,21076.9154298,50730.7877813,48007.22731640001
20,1374,0.67,89400.36429,46223.49183,0.055204768,www.albertus.edu,Albertus Magnus College,1,CT,6511,6,Selective private,2,1,0,0,0,1278,28930.0,0.606299213,,21573.0,0.3179,52200.0,0.009491904,0.18816304,0.074818537,0.004466778,2.3980815,72.422066,0.0,8.8729019,0.95923263,1.1990408000000001,14.148682,0.0,0.6821,,0.005278242,0.557590574,0.598181671,,0.532599492,0.66292015,20,-2473.5322929999984,-114742.2304865,-29874.977059,3315.2211440000033,16105.7102351,29434.767733499997
21,2235,0.56407034,159765.40099999998,59085.638020000006,0.006813185,www.albion.edu,Albion College,2,MI,49224,6,Selective private,2,1,0,0,0,1307,37300.0,0.736,1130.0,18614.0,0.43610001,45100.0,0.021639343,0.021639343,0.007213115,0.006557377,23.270439,0.0,0.0,0.31446540000000006,0.31446540000000006,24.213836999999998,51.886790999999995,0.0,0.56389999,0.56262447,0.005403606,0.7253126,0.7305567009999999,0.489361702,0.463002164,0.537588782,21,-9332.089630600001,-106178.5131908,-39703.689420999995,-3536.95184,15353.486769599995,24508.4254229
22,3229,0.59023356,139372.1685,53178.0486,0.013705796999999999,www.albright.edu,Albright College,1,PA,19612,6,Selective private,2,1,0,0,0,2349,38220.0,0.537109375,,19711.0,0.37689999,48500.0,0.023726853,0.06886573900000001,0.027777778,0.046875,8.152174,35.054348,0.0,6.25,0.0,14.945651999999999,35.597823999999996,0.0,0.62310001,0.588874467,0.009908051999999999,0.743747996,0.527565238,,0.488804215,0.600360515,22,-8796.9924042,-112951.946909,-36442.635228999985,-1212.9832180000012,7636.579510499999,25549.6014118
23,3806,0.6322751,68810.9659,40454.075280000005,0.027365765,blue.ab.edu/,Alderson Broaddus University,3,WV,26416,6,Selective private,2,1,0,0,0,1052,22740.0,0.45751634,960.0,13431.0,0.5679,43400.0,0.031746034,0.038961037999999996,0.008658009,0.008658009,4.2553190999999995,6.3829789,53.19149,2.8368794999999998,0.0,24.822695,8.510638199999999,0.0,0.4321,0.631055449,0.00430127,0.433552421,0.44633111,0.282674772,0.341095117,0.397836908,23,1489.4446689999984,-97046.730133,-20223.614327,-5891.869792999999,17300.512133400003,32497.948370600006
24,2668,0.52639294,133071.2606,51684.43148,0.014770933,www.alfred.edu,Alfred University,1,NY,14802,6,Selective private,2,1,0,0,0,1960,26106.0,0.621621622,1055.0,11715.0,0.30199999,42300.0,0.012490815,0.05143277,0.040411461,0.020573108,8.333333,29.513889000000002,0.69444442,4.8611112,3.8194443999999996,18.75,34.027778999999995,0.0,0.69800001,0.524822104,0.00822645,0.501001924,0.613820006,0.39817629200000004,0.300733841,0.679779455,24,-5714.490013999999,-95373.912235,-36976.0999585,-8946.494405299996,13477.166729399994,31053.3018862
25,1111,0.5262295,76983.84115,33651.39258,0.019464158999999998,www.hancockcollege.edu/,Allan Hancock College,4,CA,93454,9,Two-year (public and private not-for-profit),1,2,1,0,0,10885,1346.0,0.268689057,,4884.0,,29500.0,0.048802644000000006,0.033278283,0.27704376,0.001651528,6.3626723,9.1198301,19.088017,35.737010999999995,20.572641,4.9840932,2.2269354,1.9088017,,0.5246581220000001,0.046808197999999995,0.004849310999999999,0.253610481,,0.14006491699999998,,25,12891.574848000006,-91139.83704099999,-18220.388973,13072.161403,31820.265607000005,47380.156942
26,2057,0.59288889,66930.82031,33101.397789999995,0.019646211,www.allegany.edu,Allegany College Of Maryland,3,MD,21502,9,Two-year (public and private not-for-profit),1,2,1,0,0,3191,6420.0,0.180672269,,8180.0,,30900.0,0.003858025,0.032407407,0.008873457,0.0,0.0,21.311476000000003,38.797813,22.040073,3.6429873,6.739526299999999,2.9143898,4.5537343,,0.591538604,0.013547921000000001,0.106524527,0.163778914,,0.21758867199999998,,26,10740.985772,-89800.162358,-24825.189028999997,11778.540109,27899.429179,45943.668058999996
27,3230,0.50517839,142412.0833,59176.89974,0.013434455,www.allegheny.edu,Allegheny College,1,PA,16335,6,Selective private,2,1,0,0,0,2161,40660.0,0.791738382,1160.0,17619.0,0.3513,49200.0,0.013655462,0.023109243999999998,0.011029411999999999,0.014180672,14.975845000000001,0.0,0.0,0.9661835999999999,0.0,37.68116,46.376812,0.0,0.6487,0.503537191,0.00909535,0.792641872,0.787444328,0.525835866,0.43959921,0.6275050289999999,27,-10909.1534999,-107221.7825346,-38247.779405,-12289.5193814,12091.695173799999,24078.2015426
28,1901,0.57290018,74845.65544,31134.319239999997,0.011012558,www.allencc.edu,Allen County Community College,2,KS,66749,9,Two-year (public and private not-for-profit),1,2,1,0,0,2852,2784.0,0.228571429,,4287.0,,29300.0,0.009146341,0.035569105,0.019308943000000002,0.008130080999999999,4.0880504,13.207547,37.421383,18.238995000000003,0.94339621,9.7484274,15.723270000000001,0.62893081,,0.5714835970000001,0.012082463,0.033664636,0.212665685,,0.126023144,,28,8489.517154000001,-89995.273673,-23231.891006,9288.266344999998,26994.197672999995,39505.2531076
29,2236,0.56097561,120659.526,52926.63542,0.011659105,www.alma.edu,Alma College,2,MI,48801,6,Selective private,2,1,0,0,0,1419,34585.0,0.611764706,1023.0,14985.0,0.32089999,44700.0,0.012065293999999999,0.015613911000000001,0.017743081,0.013484741000000001,16.245487,14.440434,9.386282000000001,0.0,0.0,27.075813,32.851986,0.0,0.67910001,0.559519476,0.005887769,0.670908144,0.603759854,0.359270517,0.377646063,0.659739161,29,-6546.507271000002,-105907.85739800001,-35419.3164436,-3199.311639,20501.550728,23412.691085799997
30,2237,0.46733668,68727.44271,33374.47656,0.015276693000000001,www.alpenacc.edu,Alpena Community College,2,MI,49707,9,Two-year (public and private not-for-profit),1,2,1,0,0,1712,5880.0,0.272277228,,1688.0,,27700.0,0.0037776579999999997,0.005396654,0.004856989,0.002698327,0.96463019,15.434084,18.006432,16.398714000000002,9.3247595,10.289389,14.469454,15.112539000000002,,0.465569969,0.007154375,0.09570375099999999,0.257272634,,0.064893217,,30,6994.031253000001,-91008.84334460001,-23529.596203999998,6817.241397,22760.5678115,37200.992013999996
31,30321,0.55737704,48751.51172,21611.277990000002,0.022791615,www.altamahatech.edu,Altamaha Technical College,3,GA,31545,9,Two-year (public and private not-for-profit),1,2,1,0,0,1244,,0.52866242,,4734.0,,21800.0,0.0036036040000000003,0.30810812,0.02972973,0.0,0.0,17.667845,15.901060000000001,0.0,0.0,7.067137700000001,0.0,59.36395600000001,,0.55590897,0.005131264,,0.51894412,,0.136536833,,31,29074.8757962,-76966.9219728,-9324.817239000002,37659.118276,41623.754054000005,51519.5331435
32,3233,0.62440568,94909.35131,43508.2672,0.021852216,www.alvernia.edu,Alvernia University,1,PA,19607,6,Selective private,2,1,0,0,0,2371,30080.0,0.513245033,970.0,22382.0,0.2238,42600.0,0.01674808,0.079553388,0.03349616,0.003489183,0.0,29.896908000000003,30.584191999999998,0.68728524,9.6219931,11.340206,17.869415,0.0,0.7762,0.623159928,0.010003156,0.580634819,0.503208848,0.294832827,0.551627623,0.762697482,32,-4674.540072,-114256.72188900001,-34044.767054,-1446.8655669999991,14494.270802800005,30950.7608066
33,3832,0.99792963,76471.00966,36851.64361,0.026607818999999998,www.alverno.edu,Alverno College,2,WI,53234,6,Selective private,2,1,0,0,0,1862,24434.0,0.385185185,,13140.0,0.2113,37400.0,0.021017699,0.25829646,0.082411505,0.005530973000000001,6.1068702,30.152671999999995,16.412214000000002,1.1450381,3.0534351,5.7251905999999995,37.404579,0.0,0.7887,0.9979227629999999,0.007802806999999999,0.467497595,0.372508591,,0.334250635,0.775951644,33,2805.2090489999987,-99996.359264,-31609.5016492,1668.8032859999985,24595.797043900002,36607.5592914
